# longShortRatio,timestamp,symbol
1.1730,1653282900000,BTCUSDT
1.1720,1653283200000,BTCUSDT
1.1753,1653283500000,BTCUSDT
1.1739,1653283800000,BTCUSDT
1.1730,1653284100000,BTCUSDT
1.1725,1653284400000,BTCUSDT
1.1716,1653284700000,BTCUSDT
1.1820,1653285000000,BTCUSDT
1.1829,1653285300000,BTCUSDT
1.1820,1653285600000,BTCUSDT
1.1858,1653285900000,BTCUSDT
1.1848,1653286200000,BTCUSDT
1.1753,1653286500000,BTCUSDT
1.1603,1653286800000,BTCUSDT
1.1519,1653287100000,BTCUSDT
1.1372,1653287400000,BTCUSDT
1.1295,1653287700000,BTCUSDT
1.1254,1653288000000,BTCUSDT
1.1673,1653288300000,BTCUSDT
1.1505,1653288600000,BTCUSDT
1.1368,1653288900000,BTCUSDT
1.1331,1653289200000,BTCUSDT
1.1263,1653289500000,BTCUSDT
1.1070,1653289800000,BTCUSDT
1.1070,1653290100000,BTCUSDT
1.1160,1653290400000,BTCUSDT
1.1245,1653290700000,BTCUSDT
1.1177,1653291000000,BTCUSDT
1.1119,1653291300000,BTCUSDT
1.1035,1653291600000,BTCUSDT
1.0934,1653291900000,BTCUSDT
1.0859,1653292200000,BTCUSDT
1.0851,1653292500000,BTCUSDT
1.0786,1653292800000,BTCUSDT
1.0768,1653293100000,BTCUSDT
1.0894,1653293400000,BTCUSDT
1.0799,1653293700000,BTCUSDT
1.0678,1653294000000,BTCUSDT
1.0734,1653294300000,BTCUSDT
1.0743,1653294600000,BTCUSDT
1.0704,1653294900000,BTCUSDT
1.0786,1653295200000,BTCUSDT
1.0799,1653295500000,BTCUSDT
1.0859,1653295800000,BTCUSDT
1.0942,1653296100000,BTCUSDT
1.1008,1653296400000,BTCUSDT
1.1035,1653296700000,BTCUSDT
1.1084,1653297000000,BTCUSDT
1.1106,1653297300000,BTCUSDT
1.1160,1653297600000,BTCUSDT
1.1173,1653297900000,BTCUSDT
1.1200,1653298200000,BTCUSDT
1.1519,1653298500000,BTCUSDT
1.1594,1653298800000,BTCUSDT
1.1580,1653299100000,BTCUSDT
1.1589,1653299400000,BTCUSDT
1.1636,1653299700000,BTCUSDT
1.1636,1653300000000,BTCUSDT
1.1622,1653300300000,BTCUSDT
1.1631,1653300600000,BTCUSDT
1.1575,1653300900000,BTCUSDT
1.1505,1653301200000,BTCUSDT
1.1427,1653301500000,BTCUSDT
1.1404,1653301800000,BTCUSDT
1.1317,1653302100000,BTCUSDT
1.1227,1653302400000,BTCUSDT
1.1222,1653302700000,BTCUSDT
1.1218,1653303000000,BTCUSDT
1.1182,1653303300000,BTCUSDT
1.1137,1653303600000,BTCUSDT
1.1160,1653303900000,BTCUSDT
1.1119,1653304200000,BTCUSDT
1.1115,1653304500000,BTCUSDT
1.1039,1653304800000,BTCUSDT
1.1013,1653305100000,BTCUSDT
1.1008,1653305400000,BTCUSDT
1.0986,1653305700000,BTCUSDT
1.0964,1653306000000,BTCUSDT
1.0973,1653306300000,BTCUSDT
1.0934,1653306600000,BTCUSDT
1.0969,1653306900000,BTCUSDT
1.1013,1653307200000,BTCUSDT
1.1075,1653307500000,BTCUSDT
1.1115,1653307800000,BTCUSDT
1.1101,1653308100000,BTCUSDT
1.0916,1653308400000,BTCUSDT
1.0838,1653308700000,BTCUSDT
1.0864,1653309000000,BTCUSDT
1.0929,1653309300000,BTCUSDT
1.1039,1653309600000,BTCUSDT
1.1084,1653309900000,BTCUSDT
1.1146,1653310200000,BTCUSDT
1.1160,1653310500000,BTCUSDT
1.1124,1653310800000,BTCUSDT
1.0838,1653311100000,BTCUSDT
1.0886,1653311400000,BTCUSDT
1.0964,1653311700000,BTCUSDT
1.0986,1653312000000,BTCUSDT
1.0925,1653312300000,BTCUSDT
1.0890,1653312600000,BTCUSDT
1.0964,1653312900000,BTCUSDT
1.0929,1653313200000,BTCUSDT
1.0803,1653313500000,BTCUSDT
1.0644,1653313800000,BTCUSDT
1.0593,1653314100000,BTCUSDT
1.0683,1653314400000,BTCUSDT
1.1030,1653314700000,BTCUSDT
1.0942,1653315000000,BTCUSDT
1.1133,1653315300000,BTCUSDT
1.1209,1653315600000,BTCUSDT
1.1115,1653315900000,BTCUSDT
1.1035,1653316200000,BTCUSDT
1.1106,1653316500000,BTCUSDT
1.1044,1653316800000,BTCUSDT
1.1008,1653317100000,BTCUSDT
1.1026,1653317400000,BTCUSDT
1.0964,1653317700000,BTCUSDT
1.0894,1653318000000,BTCUSDT
1.0964,1653318300000,BTCUSDT
1.0942,1653318600000,BTCUSDT
1.0925,1653318900000,BTCUSDT
1.0764,1653319200000,BTCUSDT
1.0751,1653319500000,BTCUSDT
1.0721,1653319800000,BTCUSDT
1.0708,1653320100000,BTCUSDT
1.0644,1653320400000,BTCUSDT
1.0670,1653320700000,BTCUSDT
1.0585,1653321000000,BTCUSDT
1.0589,1653321300000,BTCUSDT
1.0623,1653321600000,BTCUSDT
1.0614,1653321900000,BTCUSDT
1.0640,1653322200000,BTCUSDT
1.0640,1653322500000,BTCUSDT
1.0619,1653322800000,BTCUSDT
1.0670,1653323100000,BTCUSDT
1.0653,1653323400000,BTCUSDT
1.0657,1653323700000,BTCUSDT
1.0687,1653324000000,BTCUSDT
1.0695,1653324300000,BTCUSDT
1.0653,1653324600000,BTCUSDT
1.0619,1653324900000,BTCUSDT
1.0799,1653325200000,BTCUSDT
1.1008,1653325500000,BTCUSDT
1.1227,1653325800000,BTCUSDT
1.1381,1653326100000,BTCUSDT
1.1445,1653326400000,BTCUSDT
1.1547,1653326700000,BTCUSDT
1.1617,1653327000000,BTCUSDT
1.1815,1653327300000,BTCUSDT
1.1939,1653327600000,BTCUSDT
1.1988,1653327900000,BTCUSDT
1.2065,1653328200000,BTCUSDT
1.2104,1653328500000,BTCUSDT
1.2148,1653328800000,BTCUSDT
1.2095,1653329100000,BTCUSDT
1.2207,1653329400000,BTCUSDT
1.2252,1653329700000,BTCUSDT
1.2297,1653330000000,BTCUSDT
1.2321,1653330300000,BTCUSDT
1.2331,1653330600000,BTCUSDT
1.2371,1653330900000,BTCUSDT
1.2371,1653331200000,BTCUSDT
1.2381,1653331500000,BTCUSDT
1.2442,1653331800000,BTCUSDT
1.2416,1653332100000,BTCUSDT
1.2272,1653332400000,BTCUSDT
1.2292,1653332700000,BTCUSDT
1.2655,1653333000000,BTCUSDT
1.2743,1653333300000,BTCUSDT
1.3513,1653333600000,BTCUSDT
1.3889,1653333900000,BTCUSDT
1.4219,1653334200000,BTCUSDT
1.4851,1653334500000,BTCUSDT
1.5038,1653334800000,BTCUSDT
1.5278,1653335100000,BTCUSDT
1.5674,1653335400000,BTCUSDT
1.6021,1653335700000,BTCUSDT
1.5887,1653336000000,BTCUSDT
1.6028,1653336300000,BTCUSDT
1.6455,1653336600000,BTCUSDT
1.6660,1653336900000,BTCUSDT
1.6998,1653337200000,BTCUSDT
1.7300,1653337500000,BTCUSDT
1.7495,1653337800000,BTCUSDT
1.7716,1653338100000,BTCUSDT
1.7894,1653338400000,BTCUSDT
1.8385,1653338700000,BTCUSDT
1.8769,1653339000000,BTCUSDT
1.8752,1653339300000,BTCUSDT
1.8760,1653339600000,BTCUSDT
1.8694,1653339900000,BTCUSDT
1.8703,1653340200000,BTCUSDT
1.8868,1653340500000,BTCUSDT
1.8960,1653340800000,BTCUSDT
1.8977,1653341100000,BTCUSDT
1.9036,1653341400000,BTCUSDT
1.9351,1653341700000,BTCUSDT
1.9291,1653342000000,BTCUSDT
1.9180,1653342300000,BTCUSDT
1.9138,1653342600000,BTCUSDT
1.9129,1653342900000,BTCUSDT
1.9104,1653343200000,BTCUSDT
1.8935,1653343500000,BTCUSDT
1.9155,1653343800000,BTCUSDT
1.9265,1653344100000,BTCUSDT
1.9283,1653344400000,BTCUSDT
1.9438,1653344700000,BTCUSDT
1.9525,1653345000000,BTCUSDT
1.9603,1653345300000,BTCUSDT
1.9958,1653345600000,BTCUSDT
2.0075,1653345900000,BTCUSDT
2.0193,1653346200000,BTCUSDT
2.0367,1653346500000,BTCUSDT
2.0647,1653346800000,BTCUSDT
2.0628,1653347100000,BTCUSDT
2.0703,1653347400000,BTCUSDT
2.0798,1653347700000,BTCUSDT
2.0432,1653348000000,BTCUSDT
2.0921,1653348300000,BTCUSDT
2.0998,1653348600000,BTCUSDT
2.1328,1653348900000,BTCUSDT
2.1437,1653349200000,BTCUSDT
2.1566,1653349500000,BTCUSDT
2.1716,1653349800000,BTCUSDT
2.1837,1653350100000,BTCUSDT
2.1908,1653350400000,BTCUSDT
2.2072,1653350700000,BTCUSDT
2.2446,1653351000000,BTCUSDT
2.2616,1653351300000,BTCUSDT
2.2873,1653351600000,BTCUSDT
2.2992,1653351900000,BTCUSDT
2.3091,1653352200000,BTCUSDT
2.3245,1653352500000,BTCUSDT
2.3389,1653352800000,BTCUSDT
2.3389,1653353100000,BTCUSDT
2.3478,1653353400000,BTCUSDT
2.3535,1653353700000,BTCUSDT
2.3490,1653354000000,BTCUSDT
2.3568,1653354300000,BTCUSDT
2.3693,1653354600000,BTCUSDT
2.3795,1653354900000,BTCUSDT
2.3795,1653355200000,BTCUSDT
2.3818,1653355500000,BTCUSDT
2.3898,1653355800000,BTCUSDT
2.3967,1653356100000,BTCUSDT
2.4130,1653356400000,BTCUSDT
2.4235,1653356700000,BTCUSDT
2.4376,1653357000000,BTCUSDT
2.4530,1653357300000,BTCUSDT
2.4590,1653357600000,BTCUSDT
2.4746,1653357900000,BTCUSDT
2.4771,1653358200000,BTCUSDT
2.4746,1653358500000,BTCUSDT
2.4758,1653358800000,BTCUSDT
2.4990,1653359100000,BTCUSDT
2.5186,1653359400000,BTCUSDT
2.5273,1653359700000,BTCUSDT
2.5373,1653360000000,BTCUSDT
2.5411,1653360300000,BTCUSDT
2.5461,1653360600000,BTCUSDT
2.5537,1653360900000,BTCUSDT
2.5587,1653361200000,BTCUSDT
